id;Nome_comune;Nome_scientifico;diametro;multifusto;altezza;stato;Lat;Lon
1;Ippocastano;Aesculus  hippocastanum;68;;1;;1.229.267.383.972.480;568.808.769.893.211
2;Ulivo;Olea europea;68;;3;;12.292.736.377.320.600;5.688.084.689.310.310
3;Ginko;Ginko biloba;20;;2;;12.292.663.008.289.200;5.688.075.726.402.540
4;Ginko;Ginko biloba;17;;2;;12.292.656.484.456.300;5.688.082.843.311.220
5;Ginko;Ginko biloba;20;;2;;12.292.712.233.574.300;5.688.081.775.774.920
6;Ginko;Ginko biloba;18;;2;;1.229.261.378.300.410;5.688.076.793.938.840
7;Ippocastano;Aesculus Hippocastanum;100;;1;;12.292.623.272.215.700;5.688.070.863.181.600
8;Cedro;Cedrus;74;;1;;1.229.271.935.048.300;56.880.549.687.522.000
9;Ippocastano;Aesculus Hippocastanum;60;;1;;1.229.268.495.209.100;5.688.044.649.234.600
10;Ulivo;Olea europea;57;;1;;12.292.645.809.093.200;5.688.036.702.019.900
11;Cedro;Cedrus;125;;1;;12.292.643.436.790.300;5.688.022.586.817.670
12;Abete;picea abies;25;;2;;12.292.547.765.372.600;56.880.502.815.541.800
13;Thuja;Thuja;34;;2;;12.292.449.564.410.700;5.688.018.295.545.080
14;Ligustro;Ligustrum vulgare;16;6F;2;;12.292.476.589.347.300;568.801.405.920.368
15;Pino domestico;Pinus pinea;73;;1;;1.229.242.984.351.110;5.688.003.833.552.010
16;Pino domestico;Pinus pinea;66;;1;;1.229.230.786.609.480;5.688.005.367.399.760
17;Pino domestico;Pinus pinea;64;;1;;12.292.326.126.187.000;5.687.997.040.797.690
18;Tasso;Taxus baccata;27;;2;;1.229.235.923.118.560;56.879.787.880.626.100
21;/;/;14;4F;3;;12.292.500.927.773.600;5.687.976.123.682.320
20;Thuja;Thuja;39;;2;;12.292.350.753.612.000;5.687.959.774.076.020
23;Magnolia;Magnolia grandiflora;59;;1;;12.292.423.418.528.900;5.687.944.393.335.270
22;Sequoia;Sequoia sempervirens;?;;1;;1.229.254.937.105.150;5.687.945.604.417.220
24;Magnolia;Magnolia grandiflora;41;2F;1;;12.292.360.442.267.600;5.687.951.902.043.350
25;Magnolia;Magnolia grandiflora;41;2F;1;;12.292.343.487.120.300;5.687.946.088.850.000
26;Magnolia;Magnolia grandiflora;48;;1;;122.922.792.997.771;5.687.949.843.204.040
27;Magnolia;Magnolia grandiflora;66;;1;;12.292.244.178.400.500;5.687.942.697.820.550
28;Magnolia;Magnolia grandiflora;35;;1;;1.229.218.362.430.310;5.687.941.244.522.210
29;Magnolia;Magnolia grandiflora;35;2F;1;;1.229.222.116.784.350;56.879.357.946.534.400
30;Magnolia;Magnolia grandiflora;32;;1;;12.292.296.254.924.300;568.793.288.805.677
31;Magnolia;Magnolia grandiflora;47;;1;;12.292.251.444.892.200;5.687.928.285.945.360
33;Celtis occidentalis;Celtis occidentalis;23;3F;1;;1.229.231.563.223.550;568.792.889.148.634
32;Magnolia;Magnolia grandiflora;33;3F;1;;1.229.232.471.535.010;5.687.939.549.007.480
34;Gelso;Morus;18;3F;?;;1.229.229.443.830.140;5.687.924.773.807.710
53;Betulla;Betula pendula;25;;2;;1.229.226.537.233.460;5.687.921.746.102.840
19;Ginko;Ginko biloba;33;;2;;12.292.540.287.936.900;5.687.993.321.045.990
48;Magnolia;Magnolia grandiflora;33;;1;;1.229.252.758.945.200;5.687.930.942.554.940
49;Leccio;Quercus ilex;10;;3;;1.229.241.193.622.540;5.687.925.691.167.890
50;Magnolia;Magnolia grandiflora;57;;1;;12.292.395.435.384.300;5.687.920.061.069.050
51;Bagolaro;Celtis australis;15;4F;3;;12.292.403.789.364.800;5.687.913.359.258.610
52;Ligustro;Ligustrum vulgare;26;;2;;12.292.276.402.602.100;568.790.145.724.914
54;Thuja;Thuja;37;;2;;12.292.197.334.204.600;5.687.916.658.367.120
55;Bagolaro;Celtis australis;51;;1;;12.292.150.299.239.000;5.687.904.551.599.380
59;Farnia;Quercus robur;8;;3;;12.291.698.740.992.100;5.687.892.467.036.200
58;Farnia;Quercus robur;19;;2;;12.291.742.295.700.300;5.687.905.717.104.250
56;Carpino nero;Ostrya carpinifolia;26;;2;;12.291.875.426.899.900;56.878.857.145.706.600
57;Carpino nero;Ostrya carpinifolia;32;;2;;12.291.749.686.537.700;5.687.885.278.612.770
60;Noce nero;Juglans nigra;37;;1;;12.291.862.246.642.500;5.687.878.311.368.320
62;Tiglio;Tilia cordata;10;;2;;12.291.922.362.951.900;5.687.872.612.146.850
63;Tiglio;Tilia cordata;52;;1;;12.291.778.803.178.200;5.687.866.297.384.600
64;Acero campestre;Acer campestre;19;;1;;12.291.686.120.173.600;5.687.867.415.815.240
37;Cedro;Cedrus deodara;38;;2;;12.292.070.221.300.900;568.795.051.096.147
38;Cedro;Cederus deodara;69;;1;;1.229.199.460.437.900;5.687.949.569.183.870
39;Magnolia;Magnolia grandiflora;46;;2;;12.291.889.282.112.300;5.687.945.425.829.560
40;Magnolia;Magnolia grandiflora;33;;1;;1.229.192.969.342.760;5.687.941.289.341.000
41;Magnolia;Magnolia grandiflora;44;;1;;12.291.968.881.088.000;5.687.937.282.017.900
42;Magnolia;Magnolia grandiflora;40;3F;1;;1.229.197.777.737.050;56.879.327.216.298.700
43;Magnolia;Magnolia grandiflora;46;;1;;12.291.965.011.395.200;5.687.926.955.955.600
44;Magnolia;Magnolia grandiflora;36;;1;;12.291.918.813.056.700;5.687.928.082.035.700
45;Magnolia;Magnolia grandiflora;36;;1;;12.291.871.829.943.000;5.687.921.143.058.670
46;Magnolia;Magnolia grandiflora;31;;2;;12.291.837.014.489.000;568.792.753.413.896
47;Magnolia;Magnolia grandiflora;55;;?;;12.291.826.958.277.100;5.687.932.475.621.380
132;Celtis australis;Celtis australis;6;;3;;12.292.254.886.371.100;56.878.806.410.371
137;Olmo;Ulmus minor;20;;1;;12.292.180.616.682.400;5.687.879.901.168.740
136;Bagolaro;Celtis australis;35;2F;1;;12.292.303.033.383.100;5.687.881.834.589.020
129;Tamerice;Tamarix;8;5F;3;;12.292.756.132.767.700;5.687.867.053.085.760
130;Ligustro;Ligustrum vulgare;7;9F;3;;12.292.705.684.564.300;5.687.868.962.436.990
131;Farnia;Quercus robur;15;2F;2;;1.229.262.432.983.390;56.878.707.182.731
133;prunus;prunus;9;;3;;12.292.535.341.482.700;5.687.872.803.256.440
134;Carpino bianco;Carpinus betulus;6;;3;;12.292.476.272.955.700;5.687.874.192.585.660
135;Ligustro;Ligustrum vulgare;8;6F;3;;1.229.242.129.541.730;5.687.876.500.591.090
128;Olmo;Ulmus minor;15;;2;;12.292.821.409.923.700;568.786.580.276.613
127;Tiglio;Tilia cordata;12;;3;;12.292.861.218.105.500;5.687.864.539.929.320
126;Olmo;Ulmus minor;8;;3;;1.229.291.111.055.330;5.687.863.483.664.610
125;Carpino bianco;Carpinus betulus;6;2F;3;;1.229.294.397.797.760;5.687.862.238.514.570
124;Carpino bianco;Carpinus betulus;6;2F;3;;12.293.021.692.107.100;5.687.861.343.608.050
123;/;/;9;;3;;12.293.083.923.594.700;56.878.602.558.834.500
105;Tiglio;Tilia cordata;11;;3;;12.293.161.945.729.700;5.687.854.482.391.370
122;Farnia;Quercus robur;11;;2;;12.293.108.256.181.600;5.687.855.780.623.330
119;Tiglio;Tilia cordata;44;;1;;12.293.195.204.280.900;568.782.125.969.284
121;Celtis australis;Celtis australis;33;;1;;12.293.176.546.074.700;5.687.817.668.283.310
120;Thuja;Thuja;18;;1;;122.931.555.797.523;56.878.201.993.231.400
118;Acero campestre;Acer campestre;13;;2;;12.293.074.362.702.400;5.687.822.496.814.340
117;Olmo;Ulmus minor;17;;1;;1.229.301.888.873.040;5.687.825.890.058.010
116;Olmo;Ulmus minor;16;2F;1;;1.229.293.942.946.890;568.782.903.473.269
115;Olmo;Ulmus minor;31;;1;;12.292.875.996.002.600;5.687.828.422.157.450
113;Olmo;Ulmus minor;18;;1;;12.292.877.249.775.600;5.687.833.374.161.340
114;Olmo;Ulmus minor;47;;1;;1.229.282.861.321.150;5.687.830.246.269.720
112;Bagolaro;Celtis australis;6;;3;;12.292.774.693.859.500;5.687.836.732.540.000
111;Olmo;Ulmus minor;15;2F;1;;12.292.730.513.299.700;5.687.839.013.037.930
110;Olmo;Ulmus minor;14;2F;1;;12.292.681.117.914.500;5.687.838.984.072.030
109;Olmo;Ulmus minor;29;;1;;12.292.686.763.666.600;5.687.842.995.787.940
108;Bagolaro;Celtis australis;16;;1;;12.292.641.446.935.300;5.687.840.788.523.090
107;Olmo;Ulmus minor;9;;1;;12.292.596.521.982.400;5.687.840.128.759.330
106;Acero campestre;Acer campestre;12;;2;;12.292.599.357.163.000;5.687.845.231.590.210
104;Acero campestre;Acer campestre;15;;1;;12.292.541.412.591.700;5.687.848.011.707.600
103;Olmo;Ulmus minor;12;;1;;12.292.503.925.305.300;5.687.846.249.033.290
102;Olmo;Ulmus minor;9;;3;;12.292.509.649.332.300;5.687.850.570.254.710
101;Acero campestre;Acer campestre;17;;1;;12.292.477.298.449.000;5.687.850.807.543.700
99;Olmo;Ulmus minor;4;;3;;1.229.244.762.597.030;5.687.855.528.666.920
100;Olmo;Ulmus minor;7;;2;;12.292.442.450.392.700;56.878.533.739.500.300
98;Olmo;Ulmus minor;10;;3;;1.229.242.341.789.100;5.687.857.448.559.050
97;Acero campestre;Acer campestre;12;2F;2;;12.292.391.106.152.200;5.687.857.840.595.790
96;Olmo;Ulmus minor;11;2F;2;;1.229.236.820.540.830;5.687.858.828.052.810
95;Olmo;Ulmus minor;10;;2;;12.292.336.559.574.700;5.687.861.850.849.110
94;Acero campestre;Acer campestre;6;;3;;12.292.317.017.783.500;5.687.863.913.700.080
