57 TIPI DI ALBERI DIVERSI CON QUESTA DENSITA 

 	32
Abete 	1
Abete Rosso 	2
Acero 	1
Acero americano 	8
Acero campestre 	183
Acero di monte 	28
Ailanto 	7
Alloro 	4
Bagolaro 	359
Bagolaro orientale 	227
Betulla 	1
Carpino bianco 	79
Carpino nero 	56
Cedro 	9
Cedro dell’Himalaya 	10
Celtis australis 	3
Celtis occidentalis 	1
Cipresso 	3
Cipresso dell’Arizona 	4
Cipresso dell’Himalaya 	4
corniolo 	4
Faggio 	15
Farnia 	12
Fotinia 	2
Frassino 	91
Gelso 	16
Gelso cinese 	8
Ginko 	10
Ippocastano 	9
Leccio 	8
Ligustro 	7
Loto americano 	72
Magnolia 	24
Nocciolo 	1
Noce comune 	11
Noce nero 	12
Olmo 	285
Ontano 	1
Palma 	8
Pino 	2
Pino dell’Himalaya 	16
Pino domestico 	8
Platano 	13
prunus 	4
Quercia 	3
robinia 	53
Salice 	2
sambuco 	5
Sequoia 	1
Sophora 	24
Spino di Giuda 	28
Tamerice 	1
Tasso 	8
Thuja 	19
Tiglio 	121
Ulivo 	4
